RAMO,ID_UR,EJERCICIO,TRIMESTRE,INSTITUCION,AUDITORÍAS_REALIZADAS,OBSERVACIONES_DETERMINADAS
2,0,2002,20020401/20020630,PRESIDENCIA DE LA REPÚBLICA,5,14
2,0,2002,20020101/20020331,PRESIDENCIA DE LA REPÚBLICA,3,22
2,0,2002,20020701/20020930,PRESIDENCIA DE LA REPÚBLICA,7,8
2,0,2002,20021001/20021231,PRESIDENCIA DE LA REPÚBLICA,1,2
4,I00,2002,20020101/20020331,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",3,3
4,I00,2002,20020101/20020331,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",5,5
4,I00,2002,20020401/20020630,"Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California",3,4
4,I00,2002,20020401/20020630,CENTRO DE INVESTIGACIÓN Y SEGURIDAD NACIONAL,11,13
4,I00,2002,20020401/20020630,CENTRO DE INVESTIGACIÓN Y DE ESTUDIOS AVANZADOS DEL IPN,5,19
4,I00,2002,20020401/20020630,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",1,1
4,I00,2002,20020401/20020630,"CENTRO DE INVESTIGACIÓN EN MATERIALES AVANZADOS, S.C.",2,1
4,I00,2002,20020401/20020630,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,1,9
4,I00,2002,20020401/20020630,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,6,4
4,I00,2002,20020401/20020630,"CENTRO DE INVESTIGACIÓN EN ALIMENTACIÓN Y DESARROLLO, A.C.",1,1
4,I00,2002,20020401/20020630,CENTRO DE ENSEÑANZA TÉCNICA INDUSTRIAL,3,14
4,I00,2002,20020401/20020630,"CENTRO DE INVESTIGACIÓN Y DOCENCIA ECONÓMICAS, A.C.",5,7
4,I00,2002,20020401/20020630,"CENTRO DE INVESTIGACIÓN Y ASISTENCIA EN TECNOLOGÍA Y DISEÑO DEL ESTADO DE JALISCO, A.C.",1,1
4,I00,2002,20020101/20020331,CENTRO DE INGENIERÍA Y DESARROLLO INDUSTRIAL,4,1
4,I00,2002,20020101/20020331,"CENTRO DE INVESTIGACIÓN CIENTÍFICA DE YUCATÁN, A.C.",1,3
